p,file,variableVariables,variableCalls,variableMethodCalls,variableNews,variableProperties,variableClassConsts,variableStaticCalls,variableStaticTargets,variableStaticProperties,variableStaticPropertyTargets
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Auth/BasicAuthenticate.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Auth/ControllerAuthorize.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Auth/CrudAuthorize.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Auth/DigestAuthenticate.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Auth/FormAuthenticate.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/AuthComponent.php,0,0,0,2,2,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/CookieComponent.php,0,0,0,0,0,0,3,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/EmailComponent.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/PaginatorComponent.php,0,0,0,0,22,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/RequestHandlerComponent.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/SecurityComponent.php,0,0,0,0,5,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/SessionComponent.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/ComponentCollection.php,0,0,0,1,1,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Controller.php,0,0,0,1,9,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Scaffold.php,0,0,0,0,9,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Core/App.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Core/CakePlugin.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Core/Configure.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Core/Object.php,0,0,6,0,7,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Error/ErrorHandler.php,0,0,0,1,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Error/ExceptionRenderer.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Error/exceptions.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Event/CakeEvent.php,0,0,1,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Event/CakeEventListener.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Event/CakeEventManager.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/I18n/I18n.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/I18n/L10n.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/I18n/Multibyte.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Log/CakeLog.php,0,0,0,0,6,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Log/CakeLogInterface.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Log/Engine/BaseLog.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Log/Engine/ConsoleLog.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Log/Engine/FileLog.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Log/LogEngineCollection.php,0,0,0,1,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/AclNode.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/Aco.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/AcoAction.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/Aro.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/Behavior/AclBehavior.php,0,0,0,0,5,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/Behavior/ContainableBehavior.php,0,0,0,0,24,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/Behavior/TranslateBehavior.php,0,0,0,0,1,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/Behavior/TreeBehavior.php,0,0,0,0,1,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/BehaviorCollection.php,0,0,0,1,1,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/CakeSchema.php,0,0,0,1,6,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/ConnectionManager.php,0,0,0,1,6,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/Datasource/CakeSession.php,0,0,0,1,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/Datasource/DataSource.php,0,0,0,0,2,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Model/Datasource/Database/Mysql.php,0,0,0,0,2,0,0,0,0,0
