Product,Version,LoC,Files
Moodle,2.8.5,1028257,7515
PEAR,0.9,3460,18
PEAR,1.0,6521,22
PEAR,1.0.1,6659,22
PEAR,1.1,7056,23
PEAR,1.2,7276,24
PEAR,1.2.1,7276,24
PEAR,1.3,8157,25
PEAR,1.3.1,8550,26
PEAR,1.3.3,8974,27
PEAR,1.3.4,9281,28
PEAR,1.3.5,9411,28
PEAR,1.3.6,9414,28
PEAR,1.4.0,29787,79
PEAR,1.4.1,30354,81
PEAR,1.4.2,30482,81
PEAR,1.4.3,29753,71
PEAR,1.4.4,29764,71
PEAR,1.4.5,29785,71
PEAR,1.4.6,29884,71
PEAR,1.4.7,30061,71
PEAR,1.4.8,30199,71
PEAR,1.4.9,30205,71
PEAR,1.4.10,30313,71
PEAR,1.4.11,30315,71
PEAR,1.5.0,30931,71
PEAR,1.5.1,31341,71
PEAR,1.5.2,31345,71
PEAR,1.5.3,31389,71
PEAR,1.5.4,31416,71
PEAR,1.6.0,32087,72
PEAR,1.6.1,32162,72
PEAR,1.6.2,32198,72
PEAR,1.7.0,32368,75
PEAR,1.7.1,32368,75
PEAR,1.7.2,32420,75
PEAR,1.8.0,30964,73
PEAR,1.8.1,30966,74
PEAR,1.9.0,31177,74
PEAR,1.9.1,31204,74
PEAR,1.9.2,31224,74
PEAR,1.9.3,31255,74
PEAR,1.9.4,31257,74
PEAR,1.9.5,31283,74
SilverStripe,2.4.7,108220,514
SilverStripe,3.0.2,87716,542
SilverStripe,3.1.2,92216,572
Smarty,2.6.26,5304,71
Smarty,3.0.9,12193,108
Smarty,3.1.0,14484,126
Smarty,3.1.1,14552,126
Smarty,3.1.2,14650,126
Smarty,3.1.3,14887,126
Smarty,3.1.4,14979,126
Smarty,3.1.5,15121,126
Smarty,3.1.6,15149,126
Smarty,3.1.7,15244,126
Smarty,3.1.8,15317,126
Smarty,3.1.9,15391,126
Smarty,3.1.10,15396,126
Smarty,3.1.11,15468,126
Smarty,3.1.16,15904,126
Smarty,3.1.21,16266,126
SquirrelMail,1.4.22,36082,276
